id	title	creator	pubd	pages	bc
in.ernet.dli.2015.364806	ಮನೋರಮಾ ಭಾಗ ೨	ಬೀಚಿ	1927-01-01T00:00:00Z	159	2030020028413
in.ernet.dli.2015.364807	ಸ್ವಯಂವರ ೩	ಸಿಂಪಿ ಲಿಂಗಣ್ಣ	1954-01-01T00:00:00Z	233	2030020028414
in.ernet.dli.2015.364808	ನಾಲ್ಕನೆಯ ಮನೆ	ಎಂ. ನರೇಂದ್ರ ಬಾಬು	1947-01-01T00:00:00Z	182	2030020028415
in.ernet.dli.2015.364809	ಉತ್ತರ ಸಾವಿತ್ರಿ	‍ನವಗಿರಿನಂದ	1947-01-01T00:00:00Z	98	2030020028416
in.ernet.dli.2015.364810	ಜೀವನ ಕಲೆ ಕರಂಡ ೪	ಬಸವರಾಜ ಕಟ್ಟೀಮನಿ	1942-01-01T00:00:00Z	100	2030020027433
in.ernet.dli.2015.364811	ಪ್ರದೀಪನ ಪರಾಭವ	ಶಿ. ಶಿ. ಬಸವನಾಳ	1953-01-01T00:00:00Z	162	2030020028417
in.ernet.dli.2015.364812	ನಮ್ಮ ಕಥೆಗಳು	ಮಿತ್ರಮಂಡಳಿ	1933-01-01T00:00:00Z	109	2030020028418
in.ernet.dli.2015.364813	ನಿಷ್ಕಾಮ ಪ್ರೇಮ	ಜಯಂತ್ ನಾರ್ಲಿಕರ್, ಅನುವಾದ: ಜಿ. ಟಿ. ನಾರಾಯಣರಾವ್	1951-01-01T00:00:00Z	190	2030020028419
in.ernet.dli.2015.364814	ಗ್ರಾಮ ಪಚಾನನ ೨	ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ	1946-01-01T00:00:00Z	214	2030020028420
in.ernet.dli.2015.364815	ರಂಗವಿಲಾಸಿನಿ	ಅನುವಾದ: ಮಲ್ಲಾರಿ ಮೇವುಂಡಿ	1951-01-01T00:00:00Z	267	2030020028421
